Latitude,Longitude
-36.3926092,145.1747931
-36.2148167,145.0571662
-35.9815181,145.5394482
-35.9677262,145.3504392
-36.4718048,145.240365
-36.2958731,144.8056086
-36.2517442,145.2264377
-36.712196,145.1747383
-35.9595706,145.3928587
-36.4959163,145.2156596
-35.8807651,144.405883
-36.1990558,145.0260198
-36.252214,144.6373631
-36.1589449,145.0436771
-36.1691771,145.6095643
-36.3807283,144.665737
-36.1678975,145.6300064
-36.2363235,145.3745438
-37.3169758,143.6195863
-36.2423992,144.9858257
