Latitude,Longitude,LocalDensity,GlowSize
-36.3901519,145.4298359,49,103
-37.7676728,145.4418691,3,11
-36.2565155,144.7284804,52,109
-36.3712268,144.1371205,5,15
-36.2596292,144.5649937,49,103
-36.4702473,145.0034592,61,127
-36.2513165,144.5840681,48,101
-36.276293,144.9725072,94,193
-36.309147,144.6584753,58,121
-37.2360375,143.8610242,2,9
-36.7720666,145.2129644,3,11
-36.2593545,144.58881,57,119
-36.3053494,145.2777046,69,143
-36.3058066,145.2749225,71,147
-36.4475827,145.4486751,39,83
-35.979361,145.2396115,19,43
-38.6090786,146.7933344,1,7
-36.5418728,144.0631145,4,13
-35.815741,143.8826726,10,25
-36.2337024,144.8867521,53,111
-36.3981944,145.4239721,49,103
-36.3929019,144.936236,70,145
-36.4672731,144.9940861,60,125
-36.3834324,144.6658367,43,91
-36.2650373,145.2019927,68,141
-36.3109557,145.1742738,86,177
-36.2548072,145.0959199,82,169
-36.3598264,144.6683905,47,99
-36.5486518,145.2550151,42,89
-36.500802,145.2050683,64,133
-36.4245198,145.1707393,90,185
-36.3066876,145.2431905,78,161
-36.2739638,144.4775384,31,67
-36.236176,145.058072,78,161
-36.2114525,144.898907,53,111
-36.2122164,145.0123448,71,147
-36.3890811,144.3231483,12,29
-36.4305769,145.0594456,85,175
-36.2093362,144.6159897,39,83
-36.4234176,145.4515453,38,81
-36.2648857,144.5259007,45,95
-36.395493,145.4797198,35,75
-36.2665952,145.2364977,58,121
-36.2062701,146.3094909,3,11
-36.458422,144.9332808,53,111
-36.3322327,144.6329764,55,115
-35.9684156,145.0596449,9,23
-36.342504,145.2249221,84,173
-38.0140445,143.3502197,4,13
-37.5609263,144.9165764,1,7
-37.590866,142.8556538,2,9
-36.4258628,145.2469687,85,175
-37.0560671,142.6321261,1,7
-36.4226585,144.9768041,73,151
-37.3437486,143.9469014,2,9
-36.317921,145.3893292,62,129
-36.5407039,144.0634638,4,13
-36.5760889,144.5569209,3,11
-38.2837968,144.1793644,2,9
-36.993838,141.2927917,3,11
-36.4659361,146.6200623,2,9
-35.8170819,143.6323799,2,9
-36.2131585,146.4254511,4,13
-36.5984404,146.2303089,2,9
-35.3000573,141.3942951,1,7
-38.5863427,143.1268051,5,15
-37.1471717,142.8320957,1,7
-36.3231618,143.9932101,4,13
-34.72081,143.1493546,1,7
-36.56106,145.6252994,1,7
-38.1992597,143.9722418,1,7
-36.1431575,145.4881304,35,75
-34.9517908,143.3043472,1,7
-36.4385824,145.3036172,81,167
-38.5163989,143.5389823,3,11
-36.4209109,145.0940081,90,185
-35.9636794,145.4529648,32,69
-35.28139,143.5612847,3,11
-35.9861951,145.5606611,27,59
-38.1644966,142.5534918,2,9
-36.3659383,145.4690382,38,81
-37.9405602,143.3468215,5,15
-36.6347914,144.80494,3,11
-36.2088384,144.9369664,63,131
-35.446332,143.7336791,10,25
-38.150345,142.6856428,2,9
-38.3205356,145.3395895,2,9
-36.4098618,145.0161675,87,179
-36.4394144,144.951925,62,129
-36.3993658,147.2262225,1,7
-34.1668361,141.1801619,1,7
-36.3832251,145.1820168,104,213
-36.2578389,145.1950745,70,145
-36.0265357,145.1639804,13,31
-36.3461715,145.2389703,85,175
-36.0320813,145.4763336,36,77
-36.9236895,143.3573914,3,11
-36.7531215,145.6808187,2,9
-36.454778,145.2781326,71,147
-36.0471993,144.0141728,5,15
-36.2661978,145.2083395,66,137
-36.2911516,144.5133815,44,93
-36.0235825,145.2076859,16,37
-36.2615038,144.9472506,83,171
-36.2607503,144.6291212,58,121
-36.0717996,145.3855472,30,65
-36.4024654,144.9589719,74,153
-36.3958812,144.6391388,40,85
-36.3568743,144.4760845,22,49
-36.0140588,145.2394972,19,43
-36.403498,145.4966943,34,73
-36.0034294,145.2369132,19,43
-36.2089172,144.6257783,40,85
-36.5432711,145.2422641,43,91
-36.4574803,145.1876595,86,177
-36.3333061,145.1748813,89,183
-36.127607,145.5962381,29,63
-36.0521656,146.1155281,2,9
-36.4389222,145.5368557,29,63
-36.3873244,145.4624804,36,77
-36.1944866,145.4538749,22,49
-36.2214051,144.9668541,69,143
-35.9701704,145.4969066,30,65
-36.4167506,145.1107296,88,181
-35.5938738,142.8442957,1,7
-36.0322829,144.0413266,8,21
-36.3555002,145.2599465,84,173
-35.9748392,145.4795292,32,69
-36.1991601,145.4572383,21,47
-35.9169675,145.027476,5,15
-36.3680444,144.997214,104,213
-36.4826718,145.0552448,69,143
-37.2696764,143.1100276,1,7
-38.2729212,144.158046,2,9
